epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
79,22674.2,0.46005,0.2325,0.93762,0.99846,1,0.995,0.9493,0.35008,0.15538,0.82793,0.002278,0.002278,0.002278
80,23011.1,0.45181,0.22827,0.93039,0.99875,1,0.995,0.95075,0.35223,0.16299,0.83228,0.002179,0.002179,0.002179
81,23277,0.44297,0.22773,0.92101,0.9988,1,0.995,0.95371,0.34601,0.15764,0.82947,0.00208,0.00208,0.00208
82,23606.5,0.43552,0.2246,0.91638,0.99828,1,0.995,0.95208,0.34062,0.15603,0.81942,0.001981,0.001981,0.001981
83,23872.6,0.43962,0.22426,0.92551,0.99866,1,0.995,0.94991,0.34494,0.15313,0.8257,0.001882,0.001882,0.001882
84,24209.9,0.44093,0.22405,0.91743,0.99878,1,0.995,0.9532,0.34279,0.15503,0.81906,0.001783,0.001783,0.001783
85,24476.8,0.43296,0.22139,0.92251,0.99862,1,0.995,0.95179,0.33928,0.15324,0.82213,0.001684,0.001684,0.001684
86,24817,0.42906,0.21888,0.91427,0.99888,1,0.995,0.95305,0.33933,0.15071,0.82075,0.001585,0.001585,0.001585
87,25084.9,0.43166,0.2174,0.91996,0.99881,1,0.995,0.95537,0.33397,0.14701,0.81943,0.001486,0.001486,0.001486
88,25421.3,0.43348,0.21673,0.92152,0.99883,1,0.995,0.9526,0.33414,0.14653,0.81915,0.001387,0.001387,0.001387
89,25692.5,0.4323,0.21688,0.91877,0.99862,1,0.995,0.95534,0.33915,0.14632,0.82319,0.001288,0.001288,0.001288
90,26030.1,0.42078,0.21258,0.91876,0.99889,1,0.995,0.95503,0.33461,0.14617,0.82133,0.001189,0.001189,0.001189
91,26329.4,0.34149,0.16655,0.84113,0.99825,1,0.995,0.95238,0.34108,0.15061,0.82272,0.00109,0.00109,0.00109
92,26669.6,0.33513,0.16355,0.83913,0.99864,1,0.995,0.95084,0.34577,0.15235,0.82763,0.000991,0.000991,0.000991
93,26934,0.33575,0.16692,0.8358,0.99889,1,0.995,0.95198,0.34211,0.15311,0.82384,0.000892,0.000892,0.000892
94,27266.6,0.32991,0.1612,0.83333,0.99903,1,0.995,0.95276,0.34074,0.15211,0.82609,0.000793,0.000793,0.000793
95,27536.4,0.32743,0.16094,0.83456,0.9989,1,0.995,0.95344,0.34718,0.15507,0.82659,0.000694,0.000694,0.000694
96,27876.6,0.32597,0.15911,0.83218,0.99883,1,0.995,0.95294,0.34228,0.15043,0.81949,0.000595,0.000595,0.000595
97,28148.4,0.32495,0.1563,0.83389,0.99912,1,0.995,0.95441,0.34243,0.14895,0.82055,0.000496,0.000496,0.000496
98,28451.9,0.31981,0.15306,0.83169,0.99883,1,0.995,0.95714,0.34093,0.14864,0.81963,0.000397,0.000397,0.000397
99,28724.3,0.32267,0.1505,0.82964,0.99912,1,0.995,0.95523,0.34532,0.14663,0.82149,0.000298,0.000298,0.000298
100,29052.6,0.31571,0.1491,0.82797,0.99916,1,0.995,0.95541,0.34241,0.14421,0.82124,0.000199,0.000199,0.000199
